ID	Qwen3 8B	GPT	Qwen3 32B	Year	Decade	Period	Century	Author	Journal
rspa_1955_0144	Chemistry	Chemistry	Chemistry	1955	1950	1950	1900	P. P. Manning|C. A. Coulson,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
109688	Physics	Physics	Physics	1800	1800	1800	1800	William Herschel	Abstracts of the Papers Printed in the Philosophical Transactions of the Royal Society of London
rstb_1984_0124	Biology	Biology	Biology	1984	1980	1950	1900	Diane V. DeCicco|Barbara Wakimoto|Laura Kalfayan|J. Levine|A. C. Spradling|G. G. Brownlee|D. Glover|J. B. Gurdon,F. R. S.	Philosophical Transactions of the Royal Society of London. B, Biological Sciences
rstb_1994_0149	Biology	Biology	Biology	1994	1990	1950	1900	L. Gustafsson|D. Nordling|M. S. Andersson|B. C. Sheldon|A. Qvarnstr\#xF6,m|W. D. Hamilton|J. C. Howard	Philosophical Transactions of the Royal Society of London. Series B: Biological Sciences
rstb_1899_0008	Biology	Biology	Biology	1899	1890	1850	1800	H. Marshall Ward,D. Sc.,F. R. S.	Philosophical Transactions of the Royal Society of London. Series B, Containing Papers of a Biological Character
rstb_1963_0001	Biology	Biology	Biology	1963	1960	1950	1900	A. J. Cain|J. D. Currey|E. B. Ford,F. R. S.	Philosophical Transactions of the Royal Society of London. Series B, Biological Sciences
rspb_1914_0060	Biology	Biology	Medicine	1914	1910	1900	1900	Surgeon-General Sir David Bruce,C. B.,F. R. S.,A. M. S.|Major A. E. Hamerton,D. S. O.|Captain D. P. Watson,R. A. M. C.|Lady Bruce,R. R. C.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
111371	Biology	Biology	Biology	1856	1850	1850	1800	John Denis Macdonald	Proceedings of the Royal Society of London
rsta_1988_0079	Earth Sciences	Earth Sciences	Earth Sciences	1988	1980	1950	1900	A. Hirn|R. M. Shackleton,F. R. S. |J. F. Dewey,F. R. S. |B. F. Windley	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
rspa_1931_0208	Mathematics	Mathematics	Mathematics	1931	1930	1900	1900	J. L. Burchnall|T. W. Chaundy|A. L. Dixon,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1952_0077	Physics	Physics	Physics	1952	1950	1950	1900	J. Moffatt|D. Roaf|J. H. Sanders|Lord Cherwell,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rsta_1978_0092	Earth Sciences	Earth Sciences	Earth Sciences	1978	1970	1950	1900	G. R. Orme|P. G. Flood|G. E. G. Sargent|Sir Maurice Yonge,F. R. S.	Philosophical Transactions of the Royal Society of London. Series A, Mathematical and Physical Sciences
108382	Physics	Physics	Physics	1843	1840	1800	1800	Charles Wheatstone	Philosophical Transactions of the Royal Society of London
rspa_1914_0005	Physics	Physics	Physics	1914	1910	1900	1900	R. A. Houstoun,M. A.,Ph. D.,D. Sc.|Prof. A. Gray,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rsta_1927_0006	Physics	Physics	Engineering and Technology	1927	1920	1900	1900	R. Jones,M. A.,D. Sc.|H. Lamb,F. R. S.	Philosophical Transactions of the Royal Society of London. Series A, Containing Papers of a Mathematical or Physical Character
rstl_1880_0026	Engineering and Technology	Engineering and Technology	Engineering and Technology	1880	1880	1850	1800	C. William Siemens,D. C. L.,F. R. S.	Philosophical Transactions of the Royal Society of London
104217	Humanities	Humanities	Humanities	1742	1740	1700	1700	Robert Corke	Philosophical Transactions (1683-1775)
rsta_1995_0024	Mathematics	Mathematics	Mathematics	1995	1990	1950	1900	E. R. Priest|V. S. Titov|G. Rickard|F. T. Smith	Philosophical Transactions of the Royal Society of London. Series A: Physical and Engineering Sciences
rspa_1934_0164	Physics	Physics	Physics	1934	1930	1900	1900	R. Peierls|P. A. M. Dirac,F. R. S.	Proceedings of the Royal Society of London. Series A, Containing Papers of a Mathematical and Physical Character
rspa_1978_0026	Physics	Physics	Physics	1978	1970	1950	1900	R. J. Baxter|H. N. V. Temperley|S. E. Ashley |Sir Sam Edwards,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspa_1976_0107	Physics	Physics	Physics	1976	1970	1950	1900	S. C. Harris|Sir Brian Pippard,F. R. S.	Proceedings of the Royal Society of London. A. Mathematical and Physical Sciences
rspb_1977_0139	Biology	Biology	Biology	1977	1970	1950	1900	R. E. Jones|J. M. Dodd,F. R. S.	Proceedings of the Royal Society of London. Series B. Biological Sciences
rspl_1889_0098	Engineering and Technology	Engineering and Technology	Engineering and Technology	1889	1880	1850	1800	Chas. A. Carus-Wilson.|Professor G. H. Darwin,F. R. S.	Proceedings of the Royal Society of London
104002	Earth Sciences	Earth Sciences	Earth Sciences	1735	1730	1700	1700	Thomas Jones	Philosophical Transactions (1683-1775)
rspa_1944_0016	Mathematics	Mathematics	Mathematics	1944	1940	1900	1900	F. Soddy,F. R. S.	Proceedings of the Royal Society of London. Series A. Mathematical and Physical Sciences
rspb_1927_0054	Biology	Biology	Biology	1927	1920	1900	1900	R. C. Punnett,F. R. S.	Proceedings of the Royal Society of London. Series B, Containing Papers of a Biological Character
